iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
1006,0.9028466819221967,2022-07-03 00:31:52.424666,2022-07-03 00:31:54.300234,0 days 00:00:01.875568,2.0,0.4281753375800724,182.0,28735912.0,l1,0.07225419228762606,COMPLETE
690,0.9028466819221967,2022-07-03 00:22:24.693312,2022-07-03 00:22:26.399259,0 days 00:00:01.705947,6.6,0.5117141934853846,259.0,48284049.0,l1,0.06526750324217809,COMPLETE
691,0.9028466819221967,2022-07-03 00:22:26.399958,2022-07-03 00:22:28.462472,0 days 00:00:02.062514,5.8,0.5476681166873545,237.0,4432388.0,l1,0.06723521745089005,COMPLETE
692,0.9028466819221967,2022-07-03 00:22:28.463210,2022-07-03 00:22:30.154473,0 days 00:00:01.691263,9.4,0.6627102688342252,284.0,49008039.0,l1,0.065961099972395,COMPLETE
693,0.9028466819221967,2022-07-03 00:22:30.155212,2022-07-03 00:22:31.858564,0 days 00:00:01.703352,9.1,0.40068974184529793,273.0,34375591.0,l1,0.0666911062032379,COMPLETE
1106,0.9028466819221967,2022-07-03 00:34:58.804421,2022-07-03 00:35:00.714132,0 days 00:00:01.909711,1.9000000000000001,0.40885309270655545,385.0,45403204.0,l1,0.07047514293294357,COMPLETE
697,0.9028466819221967,2022-07-03 00:22:37.007138,2022-07-03 00:22:38.733161,0 days 00:00:01.726023,2.4000000000000004,0.8549531348791181,353.0,49881301.0,l1,0.06314578159609338,COMPLETE
1305,0.9028466819221967,2022-07-03 00:41:35.230194,2022-07-03 00:41:37.240263,0 days 00:00:02.010069,0.9,0.28904616081452084,406.0,49098769.0,l1,0.06784562360691823,COMPLETE
700,0.9028466819221967,2022-07-03 00:22:41.287296,2022-07-03 00:22:43.017170,0 days 00:00:01.729874,5.5,0.595956745073555,219.0,18438278.0,l1,0.06838699548523308,COMPLETE
701,0.9028466819221967,2022-07-03 00:22:43.017803,2022-07-03 00:22:44.732191,0 days 00:00:01.714388,6.1,0.721059685979121,76.0,1596206.0,l1,0.07240840953807483,COMPLETE
1102,0.9028466819221967,2022-07-03 00:34:50.899656,2022-07-03 00:34:53.117919,0 days 00:00:02.218263,0.9,0.4325096304923586,413.0,46921999.0,l1,0.07262349317697744,COMPLETE
704,0.9028466819221967,2022-07-03 00:22:48.474781,2022-07-03 00:22:50.180224,0 days 00:00:01.705443,0.6,0.6352248863660906,174.0,46897075.0,l1,0.06869720724725784,COMPLETE
705,0.9028466819221967,2022-07-03 00:22:50.180896,2022-07-03 00:22:51.898424,0 days 00:00:01.717528,0.7000000000000001,0.33900622467919994,328.0,13118085.0,l1,0.07245205365639576,COMPLETE
706,0.9028466819221967,2022-07-03 00:22:51.899129,2022-07-03 00:22:53.620431,0 days 00:00:01.721302,9.8,0.8580364245854326,346.0,39333630.0,l1,0.07053653926983831,COMPLETE
1035,0.9028466819221967,2022-07-03 00:32:46.198285,2022-07-03 00:32:48.078833,0 days 00:00:01.880548,0.9,0.888846164189367,489.0,43479727.0,l1,0.06996167091751253,COMPLETE
708,0.9028466819221967,2022-07-03 00:22:54.442345,2022-07-03 00:22:56.154503,0 days 00:00:01.712158,6.8,0.5909804381025919,232.0,18701416.0,l1,0.06896369856342288,COMPLETE
1101,0.9028466819221967,2022-07-03 00:34:48.986106,2022-07-03 00:34:50.898661,0 days 00:00:01.912555,1.4000000000000001,0.39954165442622996,376.0,45049948.0,l1,0.0713538798202455,COMPLETE
710,0.9028466819221967,2022-07-03 00:22:57.864599,2022-07-03 00:22:59.590685,0 days 00:00:01.726086,9.6,0.38066892086442394,338.0,40051917.0,l1,0.06168791011628387,COMPLETE
1099,0.9028466819221967,2022-07-03 00:34:45.162426,2022-07-03 00:34:47.091170,0 days 00:00:01.928744,1.7000000000000002,0.4278087104616041,396.0,46220404.0,l1,0.07244870369911648,COMPLETE
1098,0.9028466819221967,2022-07-03 00:34:43.265562,2022-07-03 00:34:45.161454,0 days 00:00:01.895892,0.7000000000000001,0.3876469107445473,379.0,45691226.0,l1,0.07209797617552577,COMPLETE
713,0.9028466819221967,2022-07-03 00:23:03.018141,2022-07-03 00:23:05.072545,0 days 00:00:02.054404,8.8,0.7470431214512799,315.0,35699192.0,l1,0.0715173969932452,COMPLETE
714,0.9028466819221967,2022-07-03 00:23:05.073188,2022-07-03 00:23:06.768933,0 days 00:00:01.695745,5.7,0.6792520807204578,494.0,5179026.0,l1,0.0711162140313064,COMPLETE
715,0.9028466819221967,2022-07-03 00:23:06.769676,2022-07-03 00:23:08.489190,0 days 00:00:01.719514,3.5000000000000004,0.6413647076951485,322.0,33771687.0,l1,0.07281348324071066,COMPLETE
716,0.9028466819221967,2022-07-03 00:23:08.489898,2022-07-03 00:23:10.214293,0 days 00:00:01.724395,1.1,0.19029590667879595,118.0,14679398.0,l1,0.07154850073310172,COMPLETE
1269,0.9028466819221967,2022-07-03 00:40:23.463753,2022-07-03 00:40:25.471450,0 days 00:00:02.007697,1.9000000000000001,0.32972243518701566,353.0,48643571.0,l1,0.06763468983638604,COMPLETE
1004,0.9028466819221967,2022-07-03 00:31:48.369747,2022-07-03 00:31:50.255999,0 days 00:00:01.886252,2.0,0.8811455829773926,408.0,44638146.0,l1,0.06646552299410254,COMPLETE
